study;condition_arm1;condition_arm2;condition_arm1_details;condition_arm2_details;multi_arm1;multi_arm2;.g;.g_se;instrument;outcome_type;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;sd_change_arm1;n_change_arm1;mean_change_arm2;sd_change_arm2;n_change_arm2;event_arm1;totaln_arm1;event_arm2;totaln_arm2;precalc_g;precalc_g_se;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;itt_claimed;is_subscale;is_subsample;primary_study;single_study;year;time;time_weeks;disorder;disorder_details;mean_age;percent_women;percent_ethnicity;percent_collegeeducation;country;treatfreq_arm1;boosternum_arm1;boosterlength_arm1;comorbid_mental;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2;.id
Chien, 2014;mbsr;no treatment;mindfulness;treatment as usual;NA;treatment as usual;1,76;0,28;duration of readmissions to hospital;msd;NA;11,00;4,00;36;21,00;6,90;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,00;4,30;36;19,20;4,10;35;1;2;0;1;1;2014;fu2;24,00;schizophrenia;schizophrenia;25,63;42,99;100,00;23,37;china;0,50;0;0;0;NA;NA;NA;NA;NA;NA;chien2014_msd_durationofreadmissionstohospital_fu2_24.00_NA_mbsr_notreatment_NA_NA
Chiesa, 2012;mbct;specific active control;mbct;psycho-education;NA;NA;0,81;0,53;hamilton rating scale for depression;msd;NA;7,66;7,64;9;14,00;7,14;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,11;7,01;9;14,14;4,98;7;0;1;0;1;1;2012;post;8,00;depression;depression;NA;75,00;NA;0,25;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2012_msd_hamiltonratingscalefordepression_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2012;mbct;specific active control;mbct;psycho-education;NA;NA;-0,30;0,51;mindful attention awareness scale;msd;NA;2,98;0,86;9;3,42;1,89;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,16;0,91;9;2,44;0,40;7;0;2;0;1;1;2012;post;8,00;depression;depression;NA;75,00;NA;0,25;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2012_msd_mindfulattentionawarenessscale_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,53;0,31;hamilton rating scale for depression;msd;NA;9,82;7,35;23;13,80;7,32;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,09;5,54;23;15,70;5,45;20;1;6;0;1;1;2015;post;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_hamiltonratingscalefordepression_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,42;0,31;hamilton rating scale for depression;msd;NA;9,32;8,45;23;12,80;7,73;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,09;5,54;23;15,70;5,45;20;1;6;0;1;1;2015;fu1;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_hamiltonratingscalefordepression_fu1_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,78;0,32;hamilton rating scale for depression;msd;NA;8,04;6,18;23;13,25;6,98;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,09;5,54;23;15,70;5,45;20;1;6;0;1;1;2015;fu2;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_hamiltonratingscalefordepression_fu2_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,25;0,31;beck depression inventory;msd;NA;14,18;15,10;23;17,23;7,61;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,95;13,21;23;20,65;9,72;20;1;1;0;1;1;2015;post;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_beckdepressioninventory_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,34;0,31;beck depression inventory;msd;NA;13,09;14,14;23;17,18;8,09;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,95;13,21;23;20,65;9,72;20;1;1;0;1;1;2015;fu1;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_beckdepressioninventory_fu1_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,35;0,31;beck depression inventory;msd;NA;13,77;14,93;23;18,53;10,94;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,95;13,21;23;20,65;9,72;20;1;1;0;1;1;2015;fu2;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_beckdepressioninventory_fu2_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,07;0,31;ffmq observe;msd;NA;25,36;5,33;23;24,88;8,85;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,27;6,94;23;25,88;8,08;20;1;5;0;1;1;2015;post;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqobserve_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,17;0,31;ffmq observe;msd;NA;26,09;5,72;23;24,82;9,15;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,27;6,94;23;25,88;8,08;20;1;5;0;1;1;2015;fu1;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqobserve_fu1_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,26;0,31;ffmq observe;msd;NA;26,22;6,64;23;24,00;9,88;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,27;6,94;23;25,88;8,08;20;1;5;0;1;1;2015;fu2;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqobserve_fu2_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,53;0,31;ffmq describe;msd;NA;28,77;7,91;23;24,29;8,66;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,41;7,74;23;24,12;8,79;20;1;3;0;1;1;2015;post;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqdescribe_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,47;0,31;ffmq describe;msd;NA;28,54;8,40;23;24,29;9,46;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,41;7,74;23;24,12;8,79;20;1;3;0;1;1;2015;fu1;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqdescribe_fu1_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,63;0,31;ffmq describe;msd;NA;29,27;7,53;23;23,88;9,23;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,41;7,74;23;24,12;8,79;20;1;3;0;1;1;2015;fu2;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqdescribe_fu2_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,01;0,31;ffmq acting with awareness;msd;NA;29,41;7,45;23;29,35;6,71;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,14;8,61;23;29,29;5,40;20;1;2;0;1;1;2015;post;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqactingwithawareness_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,13;0,31;ffmq acting with awareness;msd;NA;29,27;8,15;23;28,29;6,60;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,14;8,61;23;29,29;5,40;20;1;2;0;1;1;2015;fu1;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqactingwithawareness_fu1_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,25;0,31;ffmq acting with awareness;msd;NA;29,95;8,65;23;27,82;8,25;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,14;8,61;23;29,29;5,40;20;1;2;0;1;1;2015;fu2;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqactingwithawareness_fu2_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,20;0,31;ffmq non;msd;NA;22,43;6,75;23;21,03;6,27;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,87;5,64;23;20,24;5,23;20;1;4;0;1;1;2015;post;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqnon_post_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,24;0,31;ffmq non;msd;NA;22,56;6,90;23;20,91;6,11;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,87;5,64;23;20,24;5,23;20;1;4;0;1;1;2015;fu1;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqnon_fu1_8.00_NA_mbct_specificactivecontrol_NA_NA
Chiesa, 2015;mbct;specific active control;mbct;psycho-ed;NA;NA;0,10;0,31;ffmq non;msd;NA;22,20;7,16;23;21,50;6,39;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,87;5,64;23;20,24;5,23;20;1;4;0;1;1;2015;fu2;8,00;depression;depression;48,95;72,09;NA;35,00;italy;1,00;0;0;0;NA;NA;NA;NA;NA;NA;chiesa2015_msd_ffmqnon_fu2_8.00_NA_mbct_specificactivecontrol_NA_NA
Colgan, 2016;mbsr;specific active control;mindful breathing;slow breathing;NA;slow breathing;0,53;0,29;total ffmq;msd;NA;128,85;21,35;25;116,90;23,40;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;124,95;20,03;28;114,37;21,33;28;0;3;0;1;1;2016;post;6,00;ptsd;ptsd;52,00;5,88;23,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;colgan2016_msd_totalffmq_post_6.00_NA_mbsr_specificactivecontrol_NA_NA
Colgan, 2016;mbsr;non-specific active control;mindful breathing;sitting quietly;NA;sitting quietly;0,81;0,29;total ffmq;msd;NA;128,85;21,35;25;112,60;17,94;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;124,95;20,03;28;113,10;17,61;28;0;3;0;1;1;2016;post;6,00;ptsd;ptsd;52,00;5,88;23,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;colgan2016_msd_totalffmq_post_6.00_NA_mbsr_non-specificactivecontrol_NA_NA
Colgan, 2016;mbsr;specific active control;mindful breathing;slow breathing;NA;slow breathing;0,42;0,29;beck depression inventory ii;msd;NA;17,54;11,26;25;22,56;12,21;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,91;10,25;28;24,41;9,83;28;0;1;0;1;1;2016;post;6,00;ptsd;ptsd;52,00;5,88;23,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;colgan2016_msd_beckdepressioninventoryii_post_6.00_NA_mbsr_specificactivecontrol_NA_NA
Colgan, 2016;mbsr;non-specific active control;mindful breathing;sitting quietly;NA;sitting quietly;0,27;0,28;beck depression inventory ii;msd;NA;17,54;11,26;25;20,91;13,62;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,91;10,25;28;23,14;11,64;28;0;1;0;1;1;2016;post;6,00;ptsd;ptsd;52,00;5,88;23,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;colgan2016_msd_beckdepressioninventoryii_post_6.00_NA_mbsr_non-specificactivecontrol_NA_NA
Colgan, 2016;mbsr;specific active control;mindful breathing;slow breathing;NA;slow breathing;0,62;0,29;ptsd checklist;msd;NA;46,91;11,05;25;54,18;12,05;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53,39;10,96;28;55,55;11,43;28;0;2;0;1;1;2016;post;6,00;ptsd;ptsd;52,00;5,88;23,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;colgan2016_msd_ptsdchecklist_post_6.00_NA_mbsr_specificactivecontrol_NA_NA
Colgan, 2016;mbsr;non-specific active control;mindful breathing;sitting quietly;NA;sitting quietly;0,39;0,29;ptsd checklist;msd;NA;46,91;11,05;25;51,55;12,06;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53,39;10,96;28;56,32;9,80;28;0;2;0;1;1;2016;post;6,00;ptsd;ptsd;52,00;5,88;23,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;colgan2016_msd_ptsdchecklist_post_6.00_NA_mbsr_non-specificactivecontrol_NA_NA
Corsica, 2014;mbsr;specific active control;mbsr;stress eating intervention (cbt-based);NA;NA;-0,23;0,43;stress;msd;NA;67,50;10,33;10;70,00;10,33;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,25;18,34;10;57,50;18,34;12;1;1;0;1;1;2014;post;6,00;weight/eating;obesity;45,40;98,00;59,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;corsica2014_msd_stress_post_6.00_NA_mbsr_specificactivecontrol_NA_NA
Corsica, 2014;mbsr;specific active control;mbsr;stress eating intervention (cbt-based);NA;NA;-0,69;0,44;stress;msd;NA;68,00;8,31;10;74,00;8,31;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,25;18,34;10;57,50;18,34;12;1;1;0;1;1;2014;fu1;6,00;weight/eating;obesity;45,40;98,00;59,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;corsica2014_msd_stress_fu1_6.00_NA_mbsr_specificactivecontrol_NA_NA
Corsica, 2014;mbsr;specific active control;mbsr;stress eating intervention (cbt-based);NA;NA;-0,06;0,43;weight;msd;NA;213,62;58,48;10;210,24;58,48;12;1,80;NA;NA;-1,58;NA;NA;NA;NA;NA;NA;NA;NA;211,82;55,52;10;211,82;55,52;12;1;2;0;1;1;2014;post;6,00;weight/eating;obesity;45,40;98,00;59,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;corsica2014_msd_weight_post_6.00_NA_mbsr_specificactivecontrol_NA_NA
Corsica, 2014;mbsr;specific active control;mbsr;stress eating intervention (cbt-based);NA;NA;-0,08;0,43;weight;msd;NA;211,99;57,58;10;207,24;57,58;12;0,17;NA;NA;-4,58;NA;NA;NA;NA;NA;NA;NA;NA;211,82;55,52;10;211,82;55,52;12;1;2;0;1;1;2014;fu1;6,00;weight/eating;obesity;45,40;98,00;59,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;corsica2014_msd_weight_fu1_6.00_NA_mbsr_specificactivecontrol_NA_NA
Crane, 2008;mbct;no treatment;mbct;waitlist;NA;NA;0,36;0,31;bdi;msd;NA;8,40;12,59;19;12,90;11,76;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,58;14,23;19;12,78;9,83;23;1;1;0;1;1;2008;post;8,00;depression;depression;44,96;NA;0,00;66,67;uk;1,00;0;0;0;NA;NA;NA;NA;NA;NA;crane2008_msd_bdi_post_8.00_NA_mbct_notreatment_NA_NA
Daubenmier, 2011;mbsr/mbct/mb-eat;no treatment;mindfulness;waitlist;NA;NA;0,21;0,29;restrained eating;msd;NA;2,89;0,60;24;2,77;0,50;23;0,50;NA;NA;0,50;NA;NA;NA;NA;NA;NA;NA;NA;2,79;0,60;24;2,80;0,50;23;1;5;0;1;1;2011;post;16,00;weight/eating;obesity;40,89;100,00;38,00;NA;united states;0,56;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2011_msd_restrainedeating_post_16.00_NA_mbsr/mbct/mb-eat_notreatment_NA_NA
Daubenmier, 2011;mbsr/mbct/mb-eat;no treatment;mindfulness;waitlist;NA;NA;0,28;0,29;emotional eating;msd;NA;3,00;0,70;24;3,21;0,80;23;0,40;NA;NA;0,40;NA;NA;NA;NA;NA;NA;NA;NA;3,42;0,70;24;3,42;0,80;23;1;2;0;1;1;2011;post;16,00;weight/eating;obesity;40,89;100,00;38,00;NA;united states;0,56;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2011_msd_emotionaleating_post_16.00_NA_mbsr/mbct/mb-eat_notreatment_NA_NA
Daubenmier, 2011;mbsr/mbct/mb-eat;no treatment;mindfulness;waitlist;NA;NA;0,33;0,29;external eating;msd;NA;3,24;0,50;24;3,41;0,50;23;0,40;NA;NA;0,40;NA;NA;NA;NA;NA;NA;NA;NA;3,57;0,50;24;3,50;0,50;23;1;3;0;1;1;2011;post;16,00;weight/eating;obesity;40,89;100,00;38,00;NA;united states;0,56;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2011_msd_externaleating_post_16.00_NA_mbsr/mbct/mb-eat_notreatment_NA_NA
Daubenmier, 2011;mbsr/mbct/mb-eat;no treatment;mindfulness;waitlist;NA;NA;0,08;0,29;weight;msd;NA;84,37;14,20;24;85,55;14,70;23;2,70;NA;NA;1,90;NA;NA;NA;NA;NA;NA;NA;NA;84,40;14,20;24;85,17;14,70;23;1;7;0;1;1;2011;post;16,00;weight/eating;obesity;40,89;100,00;38,00;NA;united states;0,56;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2011_msd_weight_post_16.00_NA_mbsr/mbct/mb-eat_notreatment_NA_NA
Daubenmier, 2011;mbsr/mbct/mb-eat;no treatment;mindfulness;waitlist;NA;NA;-0,38;0,29;abdominal fat;msd;NA;2307,01;675,00;24;2052,78;652,20;23;318,90;NA;NA;305,40;NA;NA;NA;NA;NA;NA;NA;NA;2238,81;675,00;24;2002,78;652,20;23;1;1;0;1;1;2011;post;16,00;weight/eating;obesity;40,89;100,00;38,00;NA;united states;0,56;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2011_msd_abdominalfat_post_16.00_NA_mbsr/mbct/mb-eat_notreatment_NA_NA
Daubenmier, 2011;mbsr/mbct/mb-eat;no treatment;mindfulness;waitlist;NA;NA;-0,40;0,29;trunk/leg fat ratio;msd;NA;1,70;0,50;24;1,53;0,30;23;0,10;NA;NA;0,10;NA;NA;NA;NA;NA;NA;NA;NA;1,68;0,50;24;1,51;0,30;23;1;6;0;1;1;2011;post;16,00;weight/eating;obesity;40,89;100,00;38,00;NA;united states;0,56;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2011_msd_trunk/legfatratio_post_16.00_NA_mbsr/mbct/mb-eat_notreatment_NA_NA
Daubenmier, 2011;mbsr/mbct/mb-eat;no treatment;mindfulness;waitlist;NA;NA;0,13;0,30;kims;msd;NA;3,32;0,60;24;3,18;0,62;23;0,55;NA;NA;0,40;NA;NA;NA;NA;NA;NA;NA;NA;3,08;0,60;24;3,15;0,62;23;1;4;0;1;1;2011;post;16,00;weight/eating;obesity;40,89;100,00;38,00;NA;united states;0,56;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2011_msd_kims_post_16.00_NA_mbsr/mbct/mb-eat_notreatment_NA_NA
Daubenmier, 2016;mbsr/mb-eat;specific active control;mb-eat;active control (cbt, pmr);NA;NA;0,03;0,16;waist circumference;msd;NA;108,10;9,70;84;108,40;10,60;72;-4,80;NA;NA;-4,30;NA;NA;NA;NA;NA;NA;NA;NA;112,90;9,70;100;112,70;10,60;94;1;4;0;1;1;2016;post;22,00;weight/eating;obesity;47,49;82,39;40,81;64,81;united states;0,73;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2016_msd_waistcircumference_post_22.00_NA_mbsr/mb-eat_specificactivecontrol_NA_NA
Daubenmier, 2016;mbsr/mb-eat;specific active control;mb-eat;active control (cbt, pmr);NA;NA;0,10;0,17;waist circumference;msd;NA;108,10;9,70;81;109,10;10,60;65;-4,80;NA;NA;-3,60;NA;NA;NA;NA;NA;NA;NA;NA;112,90;9,70;100;112,70;10,60;94;1;4;0;1;1;2016;fu1;22,00;weight/eating;obesity;47,49;82,39;40,81;64,81;united states;0,73;0;0;0;NA;NA;NA;NA;NA;NA;daubenmier2016_msd_waistcircumference_fu1_22.00_NA_mbsr/mb-eat_specificactivecontrol_NA_NA
Davis, 2013;mts;ebt;mts;interactive learning for smokers;NA;NA;0,44;0,38;frieburg mindfulness inventory;msd;NA;28,00;6,07;17;24,92;7,66;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29,82;5,65;17;28,33;6,33;12;1;1;0;1;1;2013;post;6,00;smoking;smoking;21,93;29,10;9,10;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;davis2013_msd_frieburgmindfulnessinventory_post_6.00_NA_mts_ebt_NA_NA
Davis, 2014-jsat;mts;ebt;mts;freedom from smoking;NA;NA;0,41;0,21;urge ratings;msd;NA;5,14;2,40;46;6,14;2,46;49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,24;2,08;46;6,45;1,58;49;1;3;0;1;1;2014;post;7,00;smoking;smoking;44,69;48,00;21,70;59,90;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;davis2014-jsat_msd_urgeratings_post_7.00_NA_mts_ebt_NA_NA
Davis, 2014-jsat;mts;ebt;mts;freedom from smoking;NA;NA;0,30;0,26;ffmq;msd;NA;3,65;0,61;29;3,47;0,57;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,39;0,70;29;3,28;0,59;30;1;1;0;1;1;2014;post;7,00;smoking;smoking;44,69;48,00;21,70;59,90;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;davis2014-jsat_msd_ffmq_post_7.00_NA_mts_ebt_NA_NA
Davis, 2014-jsat;mts;ebt;mts;freedom from smoking;NA;NA;0,38;0,26;ffmq;msd;NA;3,71;0,67;29;3,47;0,61;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,39;0,70;29;3,28;0,59;30;1;1;0;1;1;2014;fu1;7,00;smoking;smoking;44,69;48,00;21,70;59,90;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;davis2014-jsat_msd_ffmq_fu1_7.00_NA_mts_ebt_NA_NA
Davis, 2014-sum;mts;minimal treatment;mts;tau;NA;NA;0,13;0,22;ffmq;msd;NA;3,63;0,69;38;3,55;0,70;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,30;0,73;38;3,53;0,68;43;1;1;0;1;1;2014;post;8,00;smoking;smoking;41,65;50,00;22,96;45,41;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;davis2014-sum_msd_ffmq_post_8.00_NA_mts_minimaltreatment_NA_NA
Davis, 2014-sum;mts;minimal treatment;mts;tau;NA;NA;0,17;0,22;ffmq;msd;NA;3,60;0,71;38;3,49;0,65;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,30;0,73;38;3,53;0,68;43;1;1;0;1;1;2014;fu1;8,00;smoking;smoking;41,65;50,00;22,96;45,41;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;davis2014-sum_msd_ffmq_fu1_8.00_NA_mts_minimaltreatment_NA_NA
Day, 2014;mbct;no treatment;mbct;waitlist;NA;NA;0,16;0,34;headache frequency;msd;NA;2,86;2,37;17;3,24;2,18;17;-1,08;NA;NA;-1,00;NA;NA;NA;NA;NA;NA;NA;NA;3,94;1,98;17;4,24;1,95;17;1;7;0;1;1;2014;post;8,00;pain;headache;41,70;88,90;13,90;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;day2014_msd_headachefrequency_post_8.00_NA_mbct_notreatment_NA_NA
Day, 2014;mbct;no treatment;mbct;waitlist;NA;NA;-0,43;0,35;headache duration;msd;NA;11,94;5,99;17;9,43;5,31;17;0,33;NA;NA;0,41;NA;NA;NA;NA;NA;NA;NA;NA;11,61;7,68;17;9,02;7,10;17;1;6;0;1;1;2014;post;8,00;pain;headache;41,70;88,90;13,90;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;day2014_msd_headacheduration_post_8.00_NA_mbct_notreatment_NA_NA
Day, 2014;mbct;no treatment;mbct;waitlist;NA;NA;-0,26;0,34;headache index;msd;NA;4,08;2,13;17;3,53;1,92;17;-0,25;NA;NA;-0,30;NA;NA;NA;NA;NA;NA;NA;NA;4,33;1,73;17;3,83;2,08;17;1;8;0;1;1;2014;post;8,00;pain;headache;41,70;88,90;13,90;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;day2014_msd_headacheindex_post_8.00_NA_mbct_notreatment_NA_NA
Day, 2014;mbct;no treatment;mbct;waitlist;NA;NA;-0,25;0,34;peak headache intensity;msd;NA;5,43;3,13;17;4,75;2,02;17;-0,81;NA;NA;-0,37;NA;NA;NA;NA;NA;NA;NA;NA;6,24;2,44;17;5,12;2,57;17;1;13;0;1;1;2014;post;8,00;pain;headache;41,70;88,90;13,90;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;day2014_msd_peakheadacheintensity_post_8.00_NA_mbct_notreatment_NA_NA
Day, 2014;mbct;no treatment;mbct;waitlist;NA;NA;-0,95;0,36;headache distress;msd;NA;2,42;1,98;17;0,83;1,21;17;-0,39;NA;NA;-0,49;NA;NA;NA;NA;NA;NA;NA;NA;2,81;1,97;17;1,32;1,17;17;1;5;0;1;1;2014;post;8,00;pain;headache;41,70;88,90;13,90;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;day2014_msd_headachedistress_post_8.00_NA_mbct_notreatment_NA_NA
