study;condition_arm1;condition_arm2;condition_arm1_details;condition_arm2_details;multi_arm1;multi_arm2;.g;.g_se;instrument;outcome_type;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;sd_change_arm1;n_change_arm1;mean_change_arm2;sd_change_arm2;n_change_arm2;event_arm1;totaln_arm1;event_arm2;totaln_arm2;precalc_g;precalc_g_se;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;itt_claimed;is_subscale;is_subsample;primary_study;single_study;year;time;time_weeks;disorder;disorder_details;mean_age;percent_women;percent_ethnicity;percent_collegeeducation;country;treatfreq_arm1;boosternum_arm1;boosterlength_arm1;comorbid_mental;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2;.id
Alexander, 2012;none;ebt;cognitive intensive outpatient program + mindfulness;cognitive intensive outpatient program + cognitive therapy;NA;NA;1,17;0,28;mindfulness self;msd;NA;2,76;0,11;33;2,63;0,11;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,49;0,08;33;2,45;0,11;27;0;2;0;1;1;2012;post;4,00;depression;depression;45,00;72,00;17,00;66,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alexander2012_msd_mindfulnessself_post_4.00_NA_none_ebt_NA_NA
Alterman, 2004;none;no treatment;mindfulness + standard treatment;standard treatment;NA;NA;0,01;0,41;addiction severity index;msd;NA;0,25;0,22;15;0,25;0,21;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,39;0,22;15;0,28;0,21;10;0;1;0;1;1;2004;post;8,00;addiction;substance abuse;36,48;54,85;58,10;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alterman2004_msd_addictionseverityindex_post_8.00_NA_none_notreatment_NA_NA
Alterman, 2004;none;no treatment;mindfulness + standard treatment;standard treatment;NA;NA;0,04;0,41;addiction severity index;msd;NA;0,22;0,22;15;0,24;0,21;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,39;0,22;15;0,28;0,21;10;0;1;0;1;1;2004;fu;8,00;addiction;substance abuse;36,48;54,85;58,10;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alterman2004_msd_addictionseverityindex_fu_8.00_NA_none_notreatment_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;-0,15;0,20;beck depression inventory;msd;NA;21,36;15,26;45;19,10;14,81;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,97;11,61;45;22,12;12,32;60;1;1;0;1;1;2013;post;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_beckdepressioninventory_post_10.00_NA_mbsr_ebt_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;-0,25;0,20;beck depression inventory;msd;NA;24,53;15,68;45;20,42;16,55;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,97;11,61;45;22,12;12,32;60;1;1;0;1;1;2013;fu;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_beckdepressioninventory_fu_10.00_NA_mbsr_ebt_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;0,05;0,20;clinician anxiety rating;msd;NA;3,09;2,59;45;3,22;2,81;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,02;1,09;45;6,08;0,86;60;1;2;0;1;1;2013;post;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_cliniciananxietyrating_post_10.00_NA_mbsr_ebt_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;0,27;0,20;clinician anxiety rating;msd;NA;2,18;2,66;45;2,94;2,83;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,02;1,09;45;6,08;0,86;60;1;2;0;1;1;2013;fu;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_cliniciananxietyrating_fu_10.00_NA_mbsr_ebt_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;0,03;0,20;penn state worry questionnaire;msd;NA;39,37;13,59;45;39,75;12,59;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45,46;9,83;45;39,75;12,32;60;1;4;0;1;1;2013;post;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_pennstateworryquestionnaire_post_10.00_NA_mbsr_ebt_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;-0,38;0,20;penn state worry questionnaire;msd;NA;44,73;13,02;45;40,00;11,58;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45,46;9,83;45;39,75;12,32;60;1;4;0;1;1;2013;fu;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_pennstateworryquestionnaire_fu_10.00_NA_mbsr_ebt_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;-0,38;0,20;masq;msd;NA;20,30;8,41;45;17,14;8,02;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,05;8,64;45;20,23;8,60;60;1;3;0;1;1;2013;post;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_masq_post_10.00_NA_mbsr_ebt_NA_NA
Arch, 2013;mbsr;ebt;mbsr;cbt;NA;NA;-0,10;0,20;masq;msd;NA;17,69;7,15;45;16,85;8,53;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,05;8,64;45;20,23;8,60;60;1;3;0;1;1;2013;fu;10,00;anxiety;anxiety;45,91;17,00;30,00;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;arch2013_msd_masq_fu_10.00_NA_mbsr_ebt_NA_NA
Asl, 2014;mbct;no treatment;mbct;waitlist;NA;NA;0,83;0,36;beck depression inventory ii;msd;NA;16,94;7,64;16;23,65;8,05;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,75;12,26;16;24,52;8,46;17;0;1;0;1;1;2014;post;8,00;depression;depression;29,50;0,00;100,00;NA;iran;1,00;0;0;0;NA;NA;NA;NA;NA;NA;asl2014_msd_beckdepressioninventoryii_post_8.00_NA_mbct_notreatment_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,15;0,25;beck depression inventory;msd;NA;13,10;7,90;31;14,30;8,40;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,70;7,40;31;17,20;9,10;33;0;2;0;1;1;2003;post;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_beckdepressioninventory_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,09;0,25;beck depression inventory;msd;NA;12,10;7,50;31;12,90;9,20;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,70;7,40;31;17,20;9,10;33;0;2;0;1;1;2003;fu1;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_beckdepressioninventory_fu1_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,20;0,25;beck depression inventory;msd;NA;12,30;7,60;31;14,00;9,20;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,70;7,40;31;17,20;9,10;33;0;2;0;1;1;2003;fu2;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_beckdepressioninventory_fu2_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,08;0,25;fibromyalgic impact questionnaire;msd;NA;48,80;15,40;32;50,10;18,30;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,80;10,80;32;58,70;13,50;33;0;3;0;1;1;2003;post;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_fibromyalgicimpactquestionnaire_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;-0,02;0,25;fibromyalgic impact questionnaire;msd;NA;48,30;17,30;32;48,00;17,70;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,80;10,80;32;58,70;13,50;33;0;3;0;1;1;2003;fu1;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_fibromyalgicimpactquestionnaire_fu1_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,19;0,25;fibromyalgic impact questionnaire;msd;NA;46,40;19,50;32;50,00;18,20;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,80;10,80;32;58,70;13,50;33;0;3;0;1;1;2003;fu2;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_fibromyalgicimpactquestionnaire_fu2_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,03;0,27;total myalgic score;msd;NA;15,50;3,50;26;15,60;3,40;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,90;5,00;26;16,80;5,10;28;0;5;0;1;1;2003;post;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_totalmyalgicscore_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,05;0,27;total myalgic score;msd;NA;15,70;4,50;26;15,90;3,40;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,90;5,00;26;16,80;5,10;28;0;5;0;1;1;2003;fu1;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_totalmyalgicscore_fu1_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,04;0,27;total myalgic score;msd;NA;15,70;4,30;26;15,90;4,50;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,90;5,00;26;16,80;5,10;28;0;5;0;1;1;2003;fu2;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_totalmyalgicscore_fu2_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;-0,05;0,25;mos sf;msd;NA;39,80;17,70;32;40,80;18,70;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32,30;14,40;32;31,40;16,70;33;0;4;0;1;1;2003;post;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_mossf_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,02;0,25;mos sf;msd;NA;42,50;17,40;32;42,20;19,40;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32,30;14,40;32;31,40;16,70;33;0;4;0;1;1;2003;fu1;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_mossf_fu1_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;-0,04;0,25;mos sf;msd;NA;41,60;22,20;32;42,40;22,50;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32,30;14,40;32;31,40;16,70;33;0;4;0;1;1;2003;fu2;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_mossf_fu2_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,22;0,28;6 minute walk;msd;NA;1336,00;366,00;24;1261,00;306,00;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1314,00;289,00;24;1323,00;297,00;26;0;1;0;1;1;2003;post;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_6minutewalk_post_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,25;0,28;6 minute walk;msd;NA;1319,00;347,00;24;1229,00;360,00;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1314,00;289,00;24;1323,00;297,00;26;0;1;0;1;1;2003;fu1;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_6minutewalk_fu1_8.00_NA_mbsr_specificactivecontrol_NA_NA
Astin, 2003;mbsr;specific active control;mindfulness;education control;NA;NA;0,12;0,28;6 minute walk;msd;NA;1355,00;317,00;24;1317,00;308,00;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1314,00;289,00;24;1323,00;297,00;26;0;1;0;1;1;2003;fu2;8,00;pain;fibromyalgia;47,70;99,20;12,50;17,20;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;astin2003_msd_6minutewalk_fu2_8.00_NA_mbsr_specificactivecontrol_NA_NA
Atkinson, 2016;mbct;specific active control;mindfulness-based intervention;dissonance-based intervention;NA;dissonance-based intervention;-0,28;0,44;eating disorder examination questionnaire;msd;NA;1,64;1,24;10;1,41;0,98;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,42;0,80;10;1,82;0,95;11;0;3;0;1;1;2016;post;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_eatingdisorderexaminationquestionnaire_post_3.00_NA_mbct_specificactivecontrol_NA_NA
Atkinson, 2016;mbct;no treatment;mindfulness-based intervention;waitlist;NA;waitlist;0,21;0,40;eating disorder examination questionnaire;msd;NA;1,64;1,24;10;1,94;1,15;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,42;0,80;10;1,86;1,05;16;0;3;0;1;1;2016;post;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_eatingdisorderexaminationquestionnaire_post_3.00_NA_mbct_notreatment_NA_NA
Atkinson, 2016;mbct;specific active control;mindfulness-based intervention;dissonance-based intervention;NA;dissonance-based intervention;-0,44;0,44;eating disorder examination questionnaire;msd;NA;1,81;1,24;10;1,34;1,05;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,42;0,80;10;1,82;0,95;11;0;3;0;1;1;2016;fu;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_eatingdisorderexaminationquestionnaire_fu_3.00_NA_mbct_specificactivecontrol_NA_NA
Atkinson, 2016;mbct;no treatment;mindfulness-based intervention;waitlist;NA;waitlist;-0,11;0,40;eating disorder examination questionnaire;msd;NA;1,81;1,24;10;1,62;1,34;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,42;0,80;10;1,86;1,05;16;0;3;0;1;1;2016;fu;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_eatingdisorderexaminationquestionnaire_fu_3.00_NA_mbct_notreatment_NA_NA
Atkinson, 2016;mbct;specific active control;mindfulness-based intervention;dissonance-based intervention;NA;dissonance-based intervention;-0,47;0,44;dutch eating behaviour questionnaire;msd;NA;3,21;1,23;10;2,63;1,15;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,00;0,71;10;3,32;1,05;11;0;2;0;1;1;2016;post;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_dutcheatingbehaviourquestionnaire_post_3.00_NA_mbct_specificactivecontrol_NA_NA
Atkinson, 2016;mbct;no treatment;mindfulness-based intervention;waitlist;NA;waitlist;-0,03;0,40;dutch eating behaviour questionnaire;msd;NA;3,21;1,23;10;3,17;1,24;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,00;0,71;10;3,15;1,25;16;0;2;0;1;1;2016;post;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_dutcheatingbehaviourquestionnaire_post_3.00_NA_mbct_notreatment_NA_NA
Atkinson, 2016;mbct;specific active control;mindfulness-based intervention;dissonance-based intervention;NA;dissonance-based intervention;-0,81;0,46;dutch eating behaviour questionnaire;msd;NA;3,53;1,12;10;2,60;1,08;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,00;0,71;10;3,32;1,05;11;0;2;0;1;1;2016;fu;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_dutcheatingbehaviourquestionnaire_fu_3.00_NA_mbct_specificactivecontrol_NA_NA
Atkinson, 2016;mbct;no treatment;mindfulness-based intervention;waitlist;NA;waitlist;-0,34;0,41;dutch eating behaviour questionnaire;msd;NA;3,53;1,12;10;3,12;1,18;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,00;0,71;10;3,15;1,25;16;0;2;0;1;1;2016;fu;3,00;weight/eating;eating disorder;20,57;100,00;7,00;NA;australia;1,00;0;0;0;NA;NA;NA;NA;NA;NA;atkinson2016_msd_dutcheatingbehaviourquestionnaire_fu_3.00_NA_mbct_notreatment_NA_NA
